feature,importance_gain,importance_split
log_import_value,57554379.15515137,485
concentration_risk,7227190.015869141,125
abs_rel_z_roll3,5046718.076293945,266
log_price,3575987.057067871,199
import_share_country,2414449.742553711,126
abs_rel_z,1273226.0213012695,97
idiosyncratic_current_score,775921.2239990234,87
network_isolation_score,642700.3388671875,156
counterfactual_dev,590919.8909912109,82
price_volatility_roll3,475207.1895751953,114
ht_country_count,448805.4232788086,49
hhi_hs_month,432064.3430175781,92
log_import_weight,417527.2700805664,96
rel_z,275333.6994628906,38
price_rank_pct,261468.19982910156,57
import_growth,261250.36352539062,49
anomaly_up_roll3,230814.38989257812,34
price_distribution_shift,224151.82934570312,85
ht_median_return,198093.00048828125,74
price_return_roll3,159381.76977539062,55
counterfactual_dev_scaled,150311.27990722656,32
anomaly_abs_roll3,144734.30340576172,37
weight_growth,143944.9711303711,61
ht_mad_return,143573.02325439453,43
total_import_return,143035.00036621094,56
price_return,121113.25036621094,50
import_growth_roll3,117701.75048828125,43
rank_shift,106141.8056640625,47
month_sin,90242.55944824219,32
abs_rank_shift,72016.69995117188,33
sync_score,71955.94958496094,33
month_cos,33063.45056152344,16
anomaly_down_roll3,3105.199951171875,1
